Transliteration	Transcreation	Machine translated	Confused	untranslatable	Category	Sub-Category	Class	text	translation	DESCRIPTION	max_length
0	0	0	0	0	Status	Vital	Vital	Energy	기력	Vital of stamina (Hunger)	
0	0	0	0	0	Status	Vital	Vital	Hydration	수분	Vital of Thirst	
0	0	0	0	0	Status	Vital	Vital	Mental	정신력	Vital of Mental health	
0	0	0	0	0	Status	Vital	Vital	Body Temp	체온	Vital of Body Temperature	
0	0	0	0	0	Status	Vital	Vital	Cat	고양이	Vital of Cat (HP)	
0	0	0	0	0	Status	Medical	Type	Medical Condition	질병		
0	0	0	0	0	Status	Medical	Medical	Overweight	중량 초과		
0	0	0	0	0	Status	Medical	Medical	Starvation	기아		
0	0	0	0	0	Status	Medical	Medical	Dehydration	탈수		
0	0	0	0	0	Status	Medical	Medical	Bleeding	출혈		
0	0	0	0	0	Status	Medical	Medical	Fracture	골절		
0	0	0	0	0	Status	Medical	Medical	Burn	화상		
0	0	0	0	0	Status	Medical	Medical	Frostbite	동상		
0	0	0	0	0	Status	Medical	Medical	Insanity	정신병		
0	0	0	0	0	Status	Medical	Medical	Poisoning	중독		
0	0	0	0	0	Status	Medical	Medical	Rupture	파열		
0	0	0	0	0	Status	Medical	Medical	Headshot	헤드샷		
0	0	0	0	0	Status	Progression	Type	Progression Stat	진행도		
0	0	0	0	0	Status	Progression	Progression	Shelters	은신처 수	"This is the number of unlocked ""Shelters"". Since this is the plural form of ""Shelter"", please be careful not to confuse it with other words. "	
0	0	0	0	0	Status	Progression	Progression	Tasks	의뢰 수		
0	0	0	0	0	Status	Progression	Progression	Quests	퀘스트 수		
0	0	0	0	0	Status	Progression	Progression	Civil Defence Shelters	민방위 대피소	"This is the Full Name of CDS, so please be careful not to confuse with other words. Will be updated at ""Build 4 | Gunslinger"""	
0	0	0	0	0	Status	Progression	Progression	Silent Night	고요한 밤	"Not updated yet. It appears as ""?"" at Status"	
0	0	0	0	0	Status	Inventory	Type	Inventory Stat	인벤토리 통계		
0	0	0	0	0	Status	Inventory	Inventory	Carry Capacity	소지 한도		
0	0	0	0	0	Status	Inventory	Inventory	Inventory Weight	인벤토리 무게		
0	0	0	0	0	Status	Inventory	Inventory	Inventory Value	인벤토리 가치		
0	0	0	0	0	Status	Container	Type	Container Stat	보관함 통계		
0	0	0	0	0	Status	Container	Container	Container Weight	보관함 무게		
0	0	0	0	0	Status	Container	Container	Container Value	보관함 가치		
0	0	0	0	0	Status	Equiptments	Type	Equipment Stat	장비 통계		
0	0	0	0	0	Status	Equiptments	Equipments	Equipment Value	장비 가치		
0	0	0	0	0	Status	Equiptments	Equipments	Insulation	보온성	tooltip variant of 보온성 — labelled 방한 in tooltip context	
0	0	0	0	0	Status	Equiptments	Equipments	Dexterity	민첩성		
0	0	0	0	0	Status	Equiptments	Equipments	Menace	위협 수치		
0	0	0	0	0	Status	Equiptments	Equipments	CBRN	화생방 수치	CBRN (Chemical / Biological / Radiological / Nuclear) hazard meter	
0	0	0	0	0	Inventory	Equipments	Slot Label	Primary	주무기	Label of the Primary Weapon	
0	0	0	0	0	Inventory	Equipments	Slot Label	Secondary	보조무기	Label of the Secondary Weapon	
0	0	0	0	0	Inventory	Equipments	Slot Label	Knife	칼	Label of the Melee Weapon (Knife)	
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade	수류탄	Grenade	
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade	수류탄1	Label of the first grenade slot in the Inventory. Check Equipment/Hints/Grenade_A	
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade	수류탄2	Label of the second grenade slot in the Inventory. Check Equipment/Hints/Grenade_B	
0	0	0	0	0	Inventory	Equipments	Slot Label	Backpack	배낭	Label of the Backpack in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Rig	조끼	Label of the Rig/Vest in the Inventory (ex: bullet proof vest)	
0	0	0	0	0	Inventory	Equipments	Slot Label	Helmet	헬멧	Label of the Helmet in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Head	모자	Label of the Hat/Cap in the Inventory (Not for a helmet)	
0	0	0	0	0	Inventory	Equipments	Slot Label	Torso	외투	Label of the jacket in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Legs	바지	Label of the Pants in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Belt	벨트	Label of the Belt Pouch in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Feet	신발	Label of the Shoes in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Hands	장갑	Label of the Gloves in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Matches	성냥	Label of the Matcehs/Lighter in the Inventory	
0	0	0	0	0	Inventory	Equipments	Slot Label	Light	손전등	Label of the Flash Light in the Inventory. (Not for a Matches/Lighter)	
0	0	0	0	0	Inventory	Equipments	Slot Label	NVG	야투경	Label of the NVG(Night Vision Goggle) in the Inventory. Please use the short form only. Check Equipment/Hints/NVG.	
0	0	0	0	0	Inventory	Equipments	Slot Label	NVG	야간투시경	Label of the NVG in the Settings/Input. You can choos Full/Short form.	
0	0	0	0	0	Inventory	Equipments	Slot Label	Night Vision Goggle	야간투시경	Full Name of the NVG	
0	0	0	0	0	Inventory	Equipments	Slot Label	Time	시계	Label of the Clock(Time) slot in the Inventory.	
0	0	0	0	0	Container	Body	Asset (Dynamic)	Corpse	시체	Lootable Container	
0	0	0	0	0	Container	Body	Asset (Static)	Bandit Corpse	밴디트 시체	Lootable corpse; Statically spawned;	
0	0	0	0	0	Action	Door	ToolTip	[Jammed]	[막힘]		
0	0	0	0	0	Action	Door	ToolTip	[Occupied]	[사용중]		
0	0	0	0	0	Action	Door	ToolTip	[Close]	[닫기]		
0	0	0	0	0	Action	Door	ToolTip	[Open]	[열기]		
0	0	0	0	0	Action	Electronics	ToolTip	[Turn Off]	[켜기]		
0	0	0	0	0	Action	Electronics	ToolTip	[Turn On]	[끄기]		
0	0	0	0	0	Action	Container	ToolTip	[Locked]	[잠김]		
0	0	0	0	0	UI	All	Button	Off	끄기		
0	0	0	0	0	UI	All	Button	On	켜기		
