# === SHORT ENTRIES (direct mapping candidates) ===
en	ko	freq	ko_consistency	variants	sheets
Loading...	로딩중...	2	2/2		Main
Low	낮음	2	2/2		Main
Main Menu	메인 메뉴	2	2/2		Main
Map not equipped	지도가 장착되지 않았습니다	2	2/2		Interface
Map not usable (Vostok)	지도를 사용할 수 없습니다 (보스토크)	2	2/2		Interface
Matches	성냥	2	2/2		Interface, Items
Medical	의료	2	2/2		Main, Items
Medium	보통	2	2/2		Main
Misc	기타	2	2/2		Items
NVG	야간투시경	2	1/2	야투경 (1)	Main, Interface
Override Ambient Music [OFF]	배경음악 덮어쓰기 [끄기]	2	2/2		Interface
Override Ambient Music [ON]	배경음악 덮어쓰기 [켜기]	2	2/2		Interface
Patient Report	환자 보고서	2	2/2		Tasks, Items
Place	배치	2	2/2		Main, Interface
Primary	주무기	2	2/2		Interface
Quests	퀘스트	2	1/2	퀘스트 수 (1)	Interface
Quit	나가기	2	2/2		Main
Quit Game	게임 종료	2	2/2		Main
Recommended for new players	초보자에게 권장됨	2	2/2		Main
Remove	제거	2	2/2		Interface, Scripts (etc)
Rig	조끼	2	2/2		Interface, Items
Roadmap	로드맵	2	2/2		Main
Settings	설정	2	2/2		Main
Shelters	은신처	2	2/2		Interface
Sleep	수면	2	2/2		Interface
Special Event	특별 이벤트	2	2/2		Interface, Events
Sprint	달리기	2	2/2		Main
Start Delivery	배달 시작	2	2/2		Interface
Start Input	투입 시작	2	2/2		Interface
Stop Delivery	배달 종료	2	2/2		Interface
Supply	물자	2	2/2		Interface
Task Notes empty	의뢰 노트가 비어있습니다	2	2/2		Interface
Trader Event	상인 이벤트	2	2/2		Events
Tutorial	튜토리얼	2	2/2		Main
Ultra	울트라	2	2/2		Main
Unequip	해제	2	2/2		Interface, Scripts (etc)
Unload	탄 꺼내기	2	2/2		Interface, Scripts (etc)
Use	사용	2	2/2		Interface, Items
Value:	가치:	2	2/2		Interface, ToolTips
Vostok	보스토크	2	2/2		Main
Warning!	경고!	2	2/2		Main
Weight:	무게:	2	2/2		Interface, ToolTips
100kg	100kg	1	1/1		ToolTips
[F1] = Close Decor Mode	[F1] = 장식 모드 종료	1	1/1		Interface
[G] = Grab / Drop Item	[G] = 아이템 잡기 / 내려놓기	1	1/1		Interface
[G] = Place Furniture	[G] = 가구 배치	1	1/1		Interface
[LMB] = Surface Magnet	[LMB] = 표면에 붙이기 (스냅)	1	1/1		Interface
[MMB] = Add to Catalog	[MMB] = 카탈로그에 추가	1	1/1		Interface
[MMB] = Change Orientation	[MMB] = 회전축 변경	1	1/1		Interface
[Open]	[열기]	1	1/1		Scripts (etc)
[TAB] = Furniture Catalog	[TAB] = 가구 카탈로그	1	1/1		Interface
A. Clock	알람시계	1	1/1		Items
A. Septic	소독약	1	1/1		Items
About	정보	1	1/1		Main
Accept	수락	1	1/1		Interface
Activated	활성화됨	1	1/1		Scripts (etc)
Active	활성화	1	1/1		Scripts (etc)
Added	추가됨	1	1/1		Scripts (etc)
Aim Sensitivity	조준 감도	1	1/1		Main
Airdrop	보급품	1	1/1		Assets(Furniture)
Alarm Clock	알람 시계	1	1/1		Items
All maps & zones	모든 지역 및 구역	1	1/1		Scripts (etc)
All save files deleted	모든 세이브 파일이 삭제되었습니다	1	1/1		Main
Ambient Occlusion	앰비언트 오클루전	1	1/1		Main
Ambient Volume	환경음 볼륨	1	1/1		Main
Ammo	탄약	1	1/1		Items
Ammo Check	잔탄 확인	1	1/1		Main
Ammo Delivery	탄약 배달	1	1/1		Tasks
Anti-aliasing	안티 앨리어싱	1	1/1		Main
Antibio.	항생제	1	1/1		Items
Antibiotics	항생제	1	1/1		Items
Antiseptic	소독약	1	1/1		Items
Apartments	아파트 단지	1	1/1		Main
Armor	방어구	1	1/1		Items
Armor Plate	방탄판	1	1/1		Items
Armor Plate (II)	방탄판 (II)	1	1/1		Items
Armor Plate (III)	방탄판 (III)	1	1/1		Items
Armor Plate (III+)	방탄판 (III+)	1	1/1		Items
Armor Plate (IIIA)	방탄판 (IIIA)	1	1/1		Items
Armor Plate (IV)	방탄판 (IV)	1	1/1		Items
Armor Plate {class}	방탄판 {class}	1	1/1		Items
Armor:	방어등급:	1	1/1		ToolTips
Attachment	부착물	1	1/1		Items
Attack Helicopters	공격 헬리콥터	1	1/1		Events
Attic	다락방	1	1/1		Main
Attic K.	다락방 열쇠	1	1/1		Items
Attic Key	다락방 열쇠	1	1/1		Items
Audio Settings	오디오 설정	1	1/1		Main
B. Cables	배터리 선	1	1/1		Items
B. Game	보드게임	1	1/1		Items
Backpains	허리 통증	1	1/1		Tasks
Backward	뒤로	1	1/1		Main
Bad Habits	나쁜 습관	1	1/1		Tasks
Balm	연고	1	1/1		Items
Bandage	붕대	1	1/1		Items
Bandage (Improvised)	붕대 (급조)	1	1/1		Items
Bandit	밴디트	1	1/1		Assets(Furniture)
Bandit Corpse	밴디트 시체	1	1/1		Assets(Furniture)
Barrel	총열	1	1/1		Items
Batteries	배터리	1	1/1		Items
Battery	배터리	1	1/1		Items
Battery Cables	배터리 케이블	1	1/1		Items
Bed (Civilian)	침대 (민간용)	1	1/1		Assets(Furniture)
Bed (Nomad)	침대 (방랑자)	1	1/1		Assets(Furniture)
Bed C.	침대 민간.	1	1/1		Assets(Furniture)
Bed N.	침대 방랑.	1	1/1		Assets(Furniture)
Beer	맥주	1	1/1		Items
Belt	벨트	1	1/1		Interface
Belt Pouch	벨트 파우치	1	1/1		Items
Big Blades	커다란 칼날	1	1/1		Tasks
Blanket	담요	1	1/1		Items
Bleeding	출혈	1	1/1		Interface
Bloodsuckers	흡혈귀	1	1/1		Tasks
Board Game	보드게임	1	1/1		Items
Book (Children)	책 (아동용)	1	1/1		Items
Book (Cooking)	책 (요리)	1	1/1		Items
Book (Fishing)	책 (낚시)	1	1/1		Items
Book (Religion)	책 (종교)	1	1/1		Items
Bookworm	책벌레	1	1/1		Tasks
Border	접경지대	1	1/1		Main
Border Zone	접경지대	1	1/1		Main
Boss Killed	보스 처치됨	1	1/1		Messages
Boxes	박스	1	1/1		Assets(Furniture)
Bream	도미	1	1/1		Items
BTR Patrols	BTR 순찰	1	1/1		Events
Bucket	양동이	1	1/1		Items
Build 1 | Road	빌드 1 | 도로	1	1/1		Main
Build 2 | Nomads	빌드 2 | 방랑자	1	1/1		Main
Build 3 | Signal	빌드 3 | 신호	1	1/1		Main
Build 4 | Gunslinger	빌드 4 | 총잡이	1	1/1		Main
Build 5 | North	빌드 5 | 북부	1	1/1		Main
Build 6 | Abyss	빌드 6 | 어비스	1	1/1		Main
Build 7 | Enigma	빌드 7 | 에니그마	1	1/1		Main
Build 8 | Silent Night	빌드 8 | 고요한 밤	1	1/1		Main
Bunker	벙커	1	1/1		Main
Bunker K.	벙커 열쇠	1	1/1		Items
Bunker Key	벙커 열쇠	1	1/1		Items
Burn	화상	1	1/1		Interface
C. Board	찬장	1	1/1		Assets(Furniture)
C. Boots	전투화	1	1/1		Items
C. Brewed	커피 (끓임)	1	1/1		Items
C. Filter	커피필터	1	1/1		Items
C. Master	커피머신	1	1/1		Items
C. Med.	감기약	1	1/1		Items
C. Player	플레이어	1	1/1		Items
C. Station	조리대	1	1/1		Items
C1911 Magazine	C1911 탄창	1	1/1		Items
Cabin	오두막	1	1/1		Main
Cabinet	수납장	1	1/1		Assets(Furniture)
Cabinet (Medical)	수납장 (의료용)	1	1/1		Assets(Furniture)
Cabinet (Office)	수납장 (사무용)	1	1/1		Assets(Furniture)
Cabinet (Wood)	수납장 (나무)	1	1/1		Assets(Furniture)
Cabinet M.	수납장 의료.	1	1/1		Assets(Furniture)
Cabinet W.	수납장 나무.	1	1/1		Assets(Furniture)
Cabinet. 0	수납장 사무.	1	1/1		Assets(Furniture)
Camera Settings	카메라 설정	1	1/1		Main
Can	캔	1	1/1		Items
Canned Meat	고기 통조림	1	1/1		Items
Canned Meatballs	미트볼 통조림	1	1/1		Items
Canned Pea Soup	완두콩 스프 통조림	1	1/1		Items
Canned Peaches	복숭아 통조림	1	1/1		Items
Canned Pear	배 통조림	1	1/1		Items
Canned Peas	완두콩 통조림	1	1/1		Items
Canned Pineapple	파인애플 통조림	1	1/1		Items
Canned Tomatoes	토마토 통조림	1	1/1		Items
Canned Tuna	참치 통조림	1	1/1		Items
Canted Aim	기울여 조준	1	1/1		Main
Carpet (Persian)	카펫 (페르시안)	1	1/1		Assets(Furniture)
Carpet (Rag)	카펫 (누더기)	1	1/1		Assets(Furniture)
Carpet P.	카펫 페르.	1	1/1		Assets(Furniture)
Carpet R.	카펫 누더기.	1	1/1		Assets(Furniture)
Casette	카세트	1	1/1		Items
Casette (Electrofolk)	Casette (일렉트로포크)	1	1/1		Items
Casette (Nomad)	카세트 (방랑자)	1	1/1		Items
Casette (OST)	카세트 (OST)	1	1/1		Items
Casette (Radio Hits)	카세트 (히트곡)	1	1/1		Items
Casette (Symphony)	카세트 (교향곡)	1	1/1		Items
Casette Name	카세트 이름	1	1/1		Interface
Cat Died	고양이가 사망했습니다	1	1/1		Messages
Cat Fed ({name})	고양이에게 먹이를 줬습니다 ({name})	1	1/1		Messages
Cat Food	고양이 사료	1	1/1		Items
Cat Rescued	고양이 구조됨	1	1/1		Messages
Cat Vital Activated	고양이 상태 활성화됨	1	1/1		Messages
Cellar K.	지하실 열쇠	1	1/1		Items
Cellar Key	지하실 열쇠	1	1/1		Items
Chair (Office)	의자 (사무용)	1	1/1		Assets(Furniture)
Chair (School)	의자 (학교용)	1	1/1		Assets(Furniture)
Chair O.	의자 사무.	1	1/1		Assets(Furniture)
Chair S.	의자 학교.	1	1/1		Assets(Furniture)
Character	캐릭터	1	1/1		Interface
Chew	씹기	1	1/1		Items
Children	아동	1	1/1		Items
Cigarettes	담배	1	1/1		Items
Cigars	시가	1	1/1		Items
Cigs	담배	1	1/1		Items
Civil Defence Shelters	민방위 대피소	1	1/1		Interface
Class. K.	교실 열쇠	1	1/1		Items
Classroom	교실	1	1/1		Main
Classroom Key	교실 열쇠	1	1/1		Items
Clear Chamber	약실 비우기	1	1/1		Scripts (etc)
Clothing	의류	1	1/1		Items
Coffee	커피	1	1/1		Items
Coffee (Brewed)	커피 (끓임)	1	1/1		Items
Coffee Filter	커피 필터	1	1/1		Items
Coffee Reserve	커피 비축	1	1/1		Tasks
Cold Medicine	감기약	1	1/1		Items
Color Settings	색상 설정	1	1/1		Main
Combat Boots	전투화	1	1/1		Items
Common	일반	1	1/1		Items
Compatibility:	호환성:	1	1/1		ToolTips
Compatible Items:	호환 아이템:	1	1/1		Interface
Complete	완료	1	1/1		Interface
Concrete	콘크리트	1	1/1		Main
Consumables	소모품	1	1/1		Items
Container	컨테이너	1	1/1		Interface
Container Value	보관함 가치	1	1/1		Interface
Container Weight	보관함 무게	1	1/1		Interface
Continue to Main Menu	메인 메뉴로 이동	1	1/1		Main
Contrast	대비	1	1/1		Main
Cooking	요리	1	1/1		Items
Cooking Station	조리대	1	1/1		Items
Copyright & Legal	저작권 & 법률	1	1/1		Main
Corpse	시체	1	1/1		NotChecked
Country of origin	개발국	1	1/1		Main
Crackers	크래커	1	1/1		Items
Crafting	제작	1	1/1		Interface
Crate (Military)	상자 (군용)	1	1/1		Assets(Furniture)
Crate (Special)	상자 (특수)	1	1/1		Assets(Furniture)
Crate M.	상자 군용.	1	1/1		Assets(Furniture)
Crate Military	군용 상자	1	1/1		Assets(Furniture)
Crate S.	상자 특수.	1	1/1		Assets(Furniture)
Crate Special	특수 상자	1	1/1		Assets(Furniture)
Crouch	웅크리기	1	1/1		Main
Cupboard	찬장	1	1/1		Assets(Furniture)
Curtain (Long)	커튼 (대형)	1	1/1		Assets(Furniture)
Curtain (Mini)	커튼 (소형)	1	1/1		Assets(Furniture)
Curtain L.	커튼 대형.	1	1/1		Assets(Furniture)
Curtain M.	커튼 소형.	1	1/1		Assets(Furniture)
D. Board	다트판	1	1/1		Assets(Furniture)
D. Tape	덕테이프	1	1/1		Items
Darkness	다크니스	1	1/1		Main
Dartboard	다트판	1	1/1		Assets(Furniture)
Day 1	1 일차	1	1/1		Events
Day {str}	{str} 일차	1	1/1		Events
Deal Meter	거래 게이지	1	1/1		Interface
Death	죽음	1	1/1		Main
Decor	장식	1	1/1		Main
Dehydration	탈수	1	1/1		Interface
Deliver:	배달:	1	1/1		Interface
Demo transition: Skips 2-3 maps	데모 버전: 2-3개의 맵을 스킵합니다	1	1/1		Interface
Deodora.	데오드란트	1	1/1		Items
Deodorant	데오드란트	1	1/1		Items
Destroy	파괴	1	1/1		Interface
Detail Shadows	세부 그림자	1	1/1		Main
Developer	개발사	1	1/1		Main
Dexterity	민첩성	1	1/1		Interface
Dice Master	주사위 마스터	1	1/1		Tasks
Difficulty	난이도	1	1/1		Main
Difficulty:	난이도:	1	1/1		Interface
Display	디스플레이	1	1/1		Main
Doctor	의사	1	1/1		Interface
Doctor returns to School	의사가 학교에 복귀	1	1/1		Events
Door [Close]	문 [닫기]	1	1/1		Scripts (etc)
Door [Jammed]	문 [막힘]	1	1/1		Scripts (etc)
Door [Occupied]	문 [사용중]	1	1/1		Scripts (etc)
Door [Open]	문 [열기]	1	1/1		Scripts (etc)
Draw Grenade 1	수류탄 꺼내기 1	1	1/1		Main
Draw Grenade 2	수류탄 꺼내기 2	1	1/1		Main
Draw Knife	칼 꺼내기	1	1/1		Main
Draw Primary	주무기 꺼내기	1	1/1		Main
Draw Secondary	보조무기 꺼내기	1	1/1		Main
Drink	마시기	1	1/1		Items
Drop	버리기	1	1/1		Interface
Drum	드럼 탄창	1	1/1		Items
Duct Tape	덕트 테이프	1	1/1		Items
Duffel (Retro)	더플백 (레트로)	1	1/1		Items
Duty Calls	국가의 부름	1	1/1		Interface
Dynamic Event	동적 이벤트	1	1/1		Events
E. Drink	에너지.	1	1/1		Items
E. Powder	E.파우더	1	1/1		Items
Eat	먹기	1	1/1		Items
Eat (Raw)	먹기 (날것)	1	1/1		Items
Eat Raw	먹기 (날것)	1	1/1		Items
Electric Box	배전함	1	1/1		Assets(Furniture)
Electronics	전자제품	1	1/1		Items
Empty Can	빈 캔	1	1/1		Items
Energy Drink	에너지 드링크	1	1/1		Items
Energy Powder	에너지 파우더	1	1/1		Items
Engine License (MIT)	게임 엔진 라이센스 (MIT License)	1	1/1		Main
Enter the Road	도로 진입하기	1	1/1		Main
Equipment	장비	1	1/1		Interface
Equipment Value	장비 가치	1	1/1		Interface
Equipment:	장비:	1	1/1		Interface
Event location:	이벤트 위치:	1	1/1		Events
Event possibility:	발생 가능성:	1	1/1		Events
Events	이벤트	1	1/1		Interface
Everyman's Right	모두의 권리	1	1/1		Tasks
Example Input	입력 예시	1	1/1		Main
Exit	나가기	1	1/1		Main
Explosion	폭발	1	1/1		Interface
Exposure	노출	1	1/1		Main
F. Beanie	플레임 비니	1	1/1		Items
F. Ration	전투식량	1	1/1		Items
F. Rod	낚싯대	1	1/1		Items
F. Soup	생선 스프	1	1/1		Items
F. Soup (Cooked)	생선 스프 (조리됨)	1	1/1		Items
F. Vest	낚시 조끼	1	1/1		Items
Fall	낙하	1	1/1		Interface
Fast Drop	빠른 버리기	1	1/1		Main
Fast Equip	빠른 장착	1	1/1		Main
Fast Transfer	빠른 옮기기	1	1/1		Main
Feb. 2022	2022년 2월	1	1/1		Main
Feed cat:	고양이에게 먹이 주기:	1	1/1		Scripts (etc)
Feet	신발	1	1/1		Interface
Field of View	시야각 (FOV)	1	1/1		Main
Field Ration	전투식량	1	1/1		Items
Fighter Jets	전투기	1	1/1		Events
Finland	핀란드	1	1/1		Main
Fire	발사	1	1/1		Main
Fire [Extinguish]	불 [끄기]	1	1/1		Interface
Fire [Ignite]	불 [켜기]	1	1/1		Interface
Fire [Matches not equipped]	불 [성냥이 장착되지 않았습니다]	1	1/1		Interface
Firemode	조정간 (사격 방식)	1	1/1		Main
Fireplace	화로	1	1/1		Assets(Furniture)
Fish	생선	1	1/1		Items
Fish Soup (Cooked)	생선 스프 (조리됨)	1	1/1		Items
Fishing	낚시	1	1/1		Items
Fishing Rod	낚싯대	1	1/1		Items
Fishing Vest	낚시 조끼	1	1/1		Items
Flame Beanie	플레임 비니	1	1/1		Items
Flashlight	손전등	1	1/1		Main
Focus map	현재 위치	1	1/1		Interface
Font Scale	폰트 크기	1	1/1		Main
Forward	앞으로	1	1/1		Main
Founding date	설립일	1	1/1		Main
FPS	FPS	1	1/1		Main
Fracture	골절	1	1/1		Interface
Frames	프레임	1	1/1		Main
Freezer	냉동고	1	1/1		Assets(Furniture)
Fridge	냉장고	1	1/1		Assets(Furniture)
Frostbite	동상	1	1/1		Interface
Frozen	냉동됨	1	1/1		Scripts (etc)
Fuel Tank [89%]	연료 탱크 [89%]	1	1/1		Scripts (etc)
Fuel Tank [{percent}%]	연료 탱크 [{percent}%]	1	1/1		Scripts (etc)
Fullscreen	전체 화면	1	1/1		Main
Furniture	가구	1	1/1		Assets(Furniture)
Furniture Catalog	가구 카탈로그	1	1/1		Interface
Furnitures	가구	1	1/1		Assets(Furniture)
Fusebox	퓨즈박스	1	1/1		Assets(Furniture)
G7 Magazine	G7 탄창	1	1/1		Items
Game options	게임 옵션	1	1/1		Main
Game Paused	게임 일시중지됨	1	1/1		Main
Gameplay mode	게임플레이 모드	1	1/1		Main
Garbage	쓰레기	1	1/1		Assets(Furniture)
Generalist	잡화상	1	1/1		Interface
Generic	일반	1	1/1		Main
Guaranteed	보장됨	1	1/1		Events
Guitar	기타	1	1/1		Items
Gum	껌	1	1/1		Items
Gunsmith	총잡이	1	1/1		Interface
Gunsmith returns to Outpost	건스미스가 전초기지로 복귀	1	1/1		Events
Gym. K.	체육관 열쇠	1	1/1		Items
Gymnasium Key	체육관 열쇠	1	1/1		Items
H. Stove	화로	1	1/1		Items
Hands	장갑	1	1/1		Interface
Handyman	수리공	1	1/1		Tasks
Happy Stove	화로	1	1/1		Items
Hard	어려움	1	1/1		Tasks
Hardware Check	하드웨어 확인	1	1/1		Main
Harmo.	하모니카	1	1/1		Items
Harmonica	하모니카	1	1/1		Items
Head	모자	1	1/1		Interface
Headbob	화면 흔들림	1	1/1		Main
Headshot	헤드샷	1	1/1		Interface
Heal	치료	1	1/1		Items
Heat	열원	1	1/1		Interface
Heat required	열원 필요	1	1/1		Interface
Helicopter Crash Sites	헬리콥터 추락 현장	1	1/1		Events
Hide	숨기기	1	1/1		Scripts (etc)
Highway	고속도로	1	1/1		Main
Hiking P.	등산 바지	1	1/1		Items
Hiking Pants	등산 바지	1	1/1		Items
Hitman	암살자	1	1/1		Tasks
Home Collection	소장품	1	1/1		Tasks
Homemade	홈메이드	1	1/1		Tasks
Hoodie	후드티	1	1/1		Items
Hoodie (Border Zone)	"후드티 (접경 지대
)"	1	1/1		Items
Hoodie (Gray)	후드티 (그레이)	1	1/1		Items
Hoodie B.	"후드티 (접경 지대
)"	1	1/1		Items
Hoodie BZ.	"후드티 (접경 지대
)"	1	1/1		Items
Hotplate	핫플레이트	1	1/1		Items
HUD	HUD	1	1/1		Main
HUD Scale	HUD 크기	1	1/1		Main
Hybrid	하이브리드	1	1/1		Items
Hypovolemia	저혈량증	1	1/1		Tasks
Image Settings	이미지 설정	1	1/1		Main
Image Sharpness	이미지 선명도	1	1/1		Main
In 10 days	10 일 후	1	1/1		Events
In {str} Days	{str}일 후	1	1/1		Events
Indoor	실내	1	1/1		NotChecked
Indoors	실내	1	1/1		NotChecked
Infections	감염	1	1/1		Tasks
Input Key	키 입력	1	1/1		Main
Input Settings	입력 설정	1	1/1		Main
Input:	입력:	1	1/1		Interface
Insanity	정신병	1	1/1		Interface
Insert Cartridge	탄창 삽입	1	1/1		Main
Inspect Weapon	무기 살펴보기	1	1/1		Main
Instrument	악기	1	1/1		Items
Insulation	보온성	1	1/1		Interface
Insulation:	방한:	1	1/1		Interface
Interact	상호작용	1	1/1		Main
Interaction	상호작용	1	1/1		Interface
Interface	인터페이스	1	1/1		Main
Interface Scale	인터페이스 크기	1	1/1		Main
Intermediate	보통	1	1/1		Tasks
Interpolate	보간	1	1/1		Main
Intro	인트로	1	1/1		Main
Inventory	인벤토리	1	1/1		Interface
Inventory Value	인벤토리 가치	1	1/1		Interface
Inventory Weight	인벤토리 무게	1	1/1		Interface
Inverted	반전	1	1/1		Main
Inverter	인버터	1	1/1		Items
Ironman	아이언맨	1	1/1		Main
Item Placement	아이템 배치	1	1/1		Interface
Item Returned: {name}	아이템 회수됨: {name}	1	1/1		Messages
Items: {str}	아이템: {str}	1	1/1		Scripts (etc)
Jaeger	예거	1	1/1		Items
Jaeger 140	예거 140	1	1/1		Items
Jeans	"청바지
(블랙)"	1	1/1		Items
Jeans (Black)	청바지 (블랙)	1	1/1		Items
Jerry C.	기름통	1	1/1		Items
Jerry Can	기름통	1	1/1		Items
Juice	주스	1	1/1		Items
Juice (Orange)	주스 (오렌지)	1	1/1		Items
Juice (Pear)	주스 (배)	1	1/1		Items
Juice (Raspberry)	주스 (라즈베리)	1	1/1		Items
Juice O.	오렌지	1	1/1		Items
Juice P.	배	1	1/1		Items
Juice R.	라즈베리	1	1/1		Items
Jump	점프	1	1/1		Main
Junna - Haavakko	Junna - Haavakko	1	1/1		Items
Junna - Lempi	Junna - Lempi	1	1/1		Items
Junna - Mistä Sä Tiesit Tulla	Junna - Mistä Sä Tiesit Tulla	1	1/1		Items
Junna - Mukula	Junna - Mukula	1	1/1		Items
Junna - Rautahepo	Junna - Rautahepo	1	1/1		Items
Junna - Ruslana	Junna - Ruslana	1	1/1		Items
Junna - Vandringsman	Junna - Vandringsman	1	1/1		Items
Jääkäri Backpack (Black)	야카리 배낭 (블랙)	1	1/1		Items
Jääkäri Backpack (Brown)	야카리 배낭 (브라운)	1	1/1		Items
Jääkäri Backpack (Green)	야카리 배낭 (그린)	1	1/1		Items
Jääkäri Backpack (M05)	야카리 배낭 (M05)	1	1/1		Items
Jääkäri BP.	야카리 배낭	1	1/1		Items
KA-12 Magazine	KA-12 탄창	1	1/1		Items
KA-M Magazine	KA-M 탄창	1	1/1		Items
KAR-21 Barrel	KAR-21 총열	1	1/1		Items
KAR-21 Barrel (.308)	KAR-21 총열 (.308)	1	1/1		Items
KAR-21 Magazine (.223)	KAR-21 탄창 (.223)	1	1/1		Items
KAR-21 Magazine (.308)	KAR-21 탄창 (.308)	1	1/1		Items
Karov	카로프	1	1/1		Items
Karov Magazine	Karov 탄창	1	1/1		Items
KAS-74U Magazine	KAS-74U 탄창	1	1/1		Items
Key	열쇠	1	1/1		Items
Kilju	킬유	1	1/1		Items
Kobra	코브라	1	1/1		Items
Kompot	과일조림	1	1/1		Items
KP-31 Drum	KP-31 드럼 탄창	1	1/1		Items
Kukkaro	쿠카로	1	1/1		Items
Kukkaro (Black)	쿠카로 (블랙)	1	1/1		Items
Kukkaro (Brown)	쿠카로 (브라운)	1	1/1		Items
Kukkaro (Green)	쿠카로 (그린)	1	1/1		Items
Kukkaro (M05)	쿠카로 (M05)	1	1/1		Items
L. Gloves	가죽 장갑	1	1/1		Items
Laser	레이저	1	1/1		Main
Lean	기울이기	1	1/1		Main
Lean Left	왼쪽으로 기울이기	1	1/1		Main
Lean Right	오른쪽으로 기울이기	1	1/1		Main
Leather Gloves	가죽 장갑	1	1/1		Items
Left	왼쪽으로	1	1/1		Main
Left Mouse Button	마우스 좌클릭	1	1/1		Main
Legs	바지	1	1/1		Interface
Leopard	레오파드	1	1/1		Items
Level {no}	레벨 {no}	1	1/1		Interface
Level {str}	레벨 {str}	1	1/1		Scripts (etc)
Light	손전등	1	1/1		Interface
Lighting Quality	조명 품질	1	1/1		Main
Literature	서적	1	1/1		Items
Loading Apartments...	아파트 로딩중...	1	1/1		Main
Loading Attic...	다락방 로딩중...	1	1/1		Main
Loading Bunker...	벙커 로딩중...	1	1/1		Main
Loading Cabin...	오두막 로딩중...	1	1/1		Main
Loading Classroom...	교실 로딩중...	1	1/1		Main
Loading Death...	죽음 로딩중...	1	1/1		Main
Loading Highway...	고속도로 로딩중...	1	1/1		Main
Loading Intro...	인트로 로딩중...	1	1/1		Main
Loading Menu...	메뉴 로딩중...	1	1/1		Main
Loading Minefield...	지뢰지대 로딩중...	1	1/1		Main
Loading Outpost...	전초기지 로딩중...	1	1/1		Main
