Transliteration	Transcreation	Machine translated	Confused	untranslatable	Category	Sub-Category	Class	text	translation	DESCRIPTION
0	0	0	0	0	Status	Medical	Medical	Poisoning		
0	0	0	0	0	Status	Medical	Medical	Rupture		
0	0	0	0	0	Status	Medical	Medical	Headshot		
0	0	0	0	0	Status	Progression	Type	Progression Stat		
0	0	0	0	0	Status	Progression	Progression	Shelters		"This is the number of unlocked ""Shelters"". Since this is the plural form of ""Shelter"", please be careful not to confuse it with other words. "
0	0	0	0	0	Status	Progression	Progression	Tasks		
0	0	0	0	0	Status	Progression	Progression	Quests		
0	0	0	0	0	Status	Progression	Progression	Civil Defence Shelters		"This is the Full Name of CDS, so please be careful not to confuse with other words. Will be updated at ""Build 4 | Gunslinger"""
0	0	0	0	0	Status	Progression	Progression	Silent Night		"Not updated yet. It appears as ""?"" at Status"
0	0	0	0	0	Status	Inventory	Type	Inventory Stat		
0	0	0	0	0	Status	Inventory	Inventory	Carry Capacity		
0	0	0	0	0	Status	Inventory	Inventory	Inventory Weight		
0	0	0	0	0	Status	Inventory	Inventory	Inventory Value		
0	0	0	0	0	Status	Container	Type	Container Stat		
0	0	0	0	0	Status	Container	Container	Container Weight		
0	0	0	0	0	Status	Container	Container	Container Value		
0	0	0	0	0	Status	Equiptments	Type	Equipment Stat		
0	0	0	0	0	Status	Equiptments	Equipments	Equipment Value		
0	0	0	0	0	Status	Equiptments	Equipments	Insulation		tooltip variant of 보온성 — labelled 방한 in tooltip context
0	0	0	0	0	Status	Equiptments	Equipments	Dexterity		
0	0	0	0	0	Status	Equiptments	Equipments	Menace		
0	0	0	0	0	Status	Equiptments	Equipments	CBRN		CBRN (Chemical / Biological / Radiological / Nuclear) hazard meter
0	0	0	0	0	Inventory	Equipments	Slot Label	Primary		Label of the Primary Weapon
0	0	0	0	0	Inventory	Equipments	Slot Label	Secondary		Label of the Secondary Weapon
0	0	0	0	0	Inventory	Equipments	Slot Label	Knife		Label of the Melee Weapon (Knife)
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade		Grenade
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade		Label of the first grenade slot in the Inventory. Check Equipment/Hints/Grenade_A
0	0	0	0	0	Inventory	Equipments	Slot Label	Grenade		Label of the second grenade slot in the Inventory. Check Equipment/Hints/Grenade_B
0	0	0	0	0	Inventory	Equipments	Slot Label	Backpack		Label of the Backpack in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Rig		Label of the Rig/Vest in the Inventory (ex: bullet proof vest)
0	0	0	0	0	Inventory	Equipments	Slot Label	Helmet		Label of the Helmet in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Head		Label of the Hat/Cap in the Inventory (Not for a helmet)
0	0	0	0	0	Inventory	Equipments	Slot Label	Torso		Label of the jacket in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Legs		Label of the Pants in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Belt		Label of the Belt Pouch in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Feet		Label of the Shoes in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Hands		Label of the Gloves in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Matches		Label of the Matcehs/Lighter in the Inventory
0	0	0	0	0	Inventory	Equipments	Slot Label	Light		Label of the Flash Light in the Inventory. (Not for a Matches/Lighter)
0	0	0	0	0	Inventory	Equipments	Slot Label	NVG		Label of the NVG(Night Vision Goggle) in the Inventory. Please use the short form only. Check Equipment/Hints/NVG.
0	0	0	0	0	Inventory	Equipments	Slot Label	NVG		Label of the NVG in the Settings/Input. You can choos Full/Short form.
0	0	0	0	0	Inventory	Equipments	Slot Label	Night Vision Goggle		Full Name of the NVG
0	0	0	0	0	Inventory	Equipments	Slot Label	Time		Label of the Clock(Time) slot in the Inventory.
0	0	0	0	0	Container	Body	Asset (Dynamic)	Corpse		Lootable Container
0	0	0	0	0	Container	Body	Asset (Static)	Bandit Corpse		Lootable corpse; Statically spawned;
0	0	0	0	0	Action	Door	ToolTip	[Jammed]		
0	0	0	0	0	Action	Door	ToolTip	[Occupied]		
0	0	0	0	0	Action	Door	ToolTip	[Close]		
0	0	0	0	0	Action	Door	ToolTip	[Open]		
0	0	0	0	0	Action	Electronics	ToolTip	[Turn Off]		
0	0	0	0	0	Action	Electronics	ToolTip	[Turn On]		
0	0	0	0	0	Action	Container	ToolTip	[Locked]		
0	0	0	0	0	UI	All	Button	Off		
0	0	0	0	0	UI	All	Button	On		
